app,installed_app,installed_app_24,installed_app_72,similar_app,hot_app,social_app,contact,contact_default,family,grandparent,land_line_ratio,land_line_count,mobile_phone_count,no_mobile_phone_ratio,offspring,parent,risk_keyword_ratio,risk_keyword_count,siblings,spouse,target
255.0,28.0,5.0,10.0,11.0,8.0,True,237.0,0.0,1.0,0.0,0.4936708861,117.0,119.0,0.5021097046,0.0,0.0,0.0337552743,8.0,1.0,0.0,1
273.0,64.0,11.0,20.0,16.0,7.0,True,2299.0,0.0,0.0,0.0,0.3514571553,808.0,1468.0,0.638538495,0.0,0.0,0.0165289256,38.0,0.0,0.0,0
310.0,64.0,7.0,8.0,11.0,8.0,True,275.0,0.0,3.0,3.0,0.3563636364,98.0,157.0,0.5709090909,0.0,0.0,0.0109090909,3.0,2.0,0.0,0
410.0,194.0,13.0,26.0,39.0,6.0,True,267.0,0.0,1.0,0.0,0.531835206,142.0,119.0,0.4456928839,0.0,1.0,0.0299625468,8.0,0.0,0.0,0
360.0,144.0,7.0,11.0,8.0,6.0,True,2330.0,0.0,5.0,2.0,0.5214592275,1215.0,1061.0,0.4553648069,0.0,2.0,0.0060085837,14.0,2.0,0.0,0
278.0,24.0,2.0,2.0,7.0,5.0,True,291.0,0.0,5.0,0.0,0.5498281787,160.0,125.0,0.4295532646,0.0,2.0,0.0549828179,16.0,1.0,2.0,0
337.0,62.0,2.0,3.0,12.0,8.0,True,198.0,0.0,1.0,0.0,0.404040404,80.0,91.0,0.4595959596,0.0,0.0,0.0050505051,1.0,1.0,0.0,0
363.0,66.0,3.0,7.0,10.0,8.0,True,596.0,0.0,3.0,0.0,0.3976510067,237.0,320.0,0.5369127517,1.0,0.0,0.0100671141,6.0,2.0,0.0,0
285.0,76.0,12.0,22.0,17.0,8.0,True,1061.0,0.0,2.0,0.0,0.2441093308,259.0,796.0,0.7502356268,0.0,0.0,0.0188501414,20.0,2.0,0.0,0
328.0,68.0,0.0,3.0,13.0,6.0,True,548.0,0.0,2.0,1.0,0.3284671533,180.0,347.0,0.6332116788,0.0,1.0,0.0,0.0,0.0,0.0,0
333.0,87.0,5.0,5.0,13.0,9.0,True,480.0,0.0,0.0,0.0,0.5541666667,266.0,194.0,0.4041666667,0.0,0.0,0.03125,15.0,0.0,0.0,1
284.0,68.0,6.0,9.0,9.0,7.0,True,369.0,0.0,2.0,1.0,0.5149051491,190.0,157.0,0.4254742547,0.0,0.0,0.0460704607,17.0,1.0,0.0,0
312.0,52.0,15.0,18.0,20.0,9.0,True,414.0,0.0,1.0,0.0,0.3405797101,141.0,244.0,0.5893719807,0.0,0.0,0.0072463768,3.0,1.0,0.0,0
227.0,22.0,2.0,2.0,3.0,5.0,True,528.0,0.0,5.0,0.0,0.4204545455,222.0,277.0,0.5246212121,0.0,4.0,0.0625,33.0,1.0,0.0,0
256.0,34.0,9.0,9.0,6.0,5.0,True,300.0,0.0,0.0,0.0,0.4466666667,134.0,151.0,0.5033333333,0.0,0.0,0.0166666667,5.0,0.0,0.0,0
309.0,63.0,4.0,5.0,11.0,9.0,True,184.0,0.0,1.0,0.0,0.4347826087,80.0,101.0,0.5489130435,0.0,1.0,0.0108695652,2.0,0.0,0.0,0
327.0,92.0,1.0,3.0,10.0,9.0,True,2439.0,0.0,1.0,1.0,0.2742927429,669.0,1718.0,0.7043870439,0.0,1.0,0.0086100861,21.0,1.0,0.0,0
315.0,78.0,3.0,4.0,13.0,9.0,True,1158.0,0.0,8.0,2.0,0.3367875648,390.0,731.0,0.6312607945,1.0,4.0,0.0034542314,4.0,3.0,0.0,0
213.0,17.0,4.0,7.0,5.0,4.0,True,195.0,0.0,0.0,0.0,0.6,117.0,68.0,0.3487179487,0.0,0.0,0.0153846154,3.0,0.0,0.0,0
334.0,55.0,0.0,4.0,9.0,7.0,True,1518.0,0.0,3.0,0.0,0.4927536232,748.0,710.0,0.4677206851,0.0,2.0,0.0520421607,79.0,1.0,0.0,0
309.0,49.0,3.0,3.0,7.0,6.0,True,331.0,0.0,3.0,1.0,0.4954682779,164.0,141.0,0.4259818731,0.0,1.0,0.0060422961,2.0,2.0,0.0,0
344.0,78.0,3.0,7.0,5.0,8.0,True,277.0,0.0,2.0,0.0,0.3646209386,101.0,159.0,0.5740072202,0.0,1.0,0.0180505415,5.0,1.0,0.0,0
254.0,60.0,4.0,5.0,10.0,8.0,True,694.0,0.0,0.0,0.0,0.3443804035,239.0,429.0,0.6181556196,0.0,0.0,0.0014409222,1.0,0.0,0.0,0
280.0,43.0,4.0,5.0,9.0,7.0,True,127.0,0.0,4.0,2.0,0.3622047244,46.0,72.0,0.5669291339,0.0,1.0,0.0236220472,3.0,1.0,1.0,0
254.0,53.0,13.0,16.0,6.0,7.0,True,477.0,0.0,6.0,0.0,0.3312368973,158.0,308.0,0.6457023061,0.0,1.0,0.0083857442,4.0,5.0,0.0,1
371.0,155.0,1.0,3.0,42.0,7.0,True,881.0,0.0,3.0,0.0,0.4971623156,438.0,401.0,0.4551645857,0.0,2.0,0.0147559591,13.0,1.0,0.0,0
323.0,80.0,1.0,7.0,16.0,6.0,True,737.0,0.0,4.0,0.0,0.394843962,291.0,406.0,0.5508819539,0.0,4.0,0.0203527815,15.0,0.0,0.0,1
368.0,125.0,3.0,12.0,18.0,8.0,True,1557.0,0.0,0.0,0.0,0.2915863841,454.0,985.0,0.6326268465,0.0,0.0,0.0032113038,5.0,0.0,0.0,1
